Thu Dec 11 11:49:08 2025    ga_profile_without_deepcopy_2.txt

         41212265 function calls (41191118 primitive calls) in 45.752 seconds

   Ordered by: cumulative time
   List reduced from 3476 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    366/1    0.003    0.000   45.752   45.752 {built-in method builtins.exec}
        1    1.832    1.832   45.752   45.752 ga_train_screen.py:1(<module>)
    14845    0.328    0.000   24.552    0.002 agent.py:62(moves_instant)
    14845    0.174    0.000   23.641    0.002 genetic_algorithm.py:77(choose_action)
    14845    1.014    0.000   12.181    0.001 agent.py:81(get_next_states)
   342648    0.259    0.000   11.285    0.000 genetic_algorithm.py:71(_evaluate_state)
   342648    0.518    0.000   10.254    0.000 genetic_algorithm.py:93(feature_func)
   342648    6.882    0.000    9.736    0.000 game.py:305(genetics_grid_features)
  3087760    9.012    0.000    9.012    0.000 {built-in method pygame.draw.rect}
   502653    1.732    0.000    5.776    0.000 game.py:510(copy)
   502685    3.359    0.000    3.360    0.000 game.py:149(__init__)
   357445    0.160    0.000    3.082    0.000 game.py:487(soft_drop)
    14845    3.067    0.000    3.067    0.000 {built-in method pygame.display.update}
   357445    0.981    0.000    2.922    0.000 game.py:490(depth_collide)
   207830    2.697    0.000    2.697    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
    44535    2.681    0.000    2.681    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
  5496979    2.529    0.000    2.529    0.000 game.py:414(_check_collision)
   144206    0.130    0.000    2.413    0.000 agent.py:153(test_tspin)
   954530    0.780    0.000    1.795    0.000 game.py:192(move_tetromino)
       45    0.003    0.000    1.283    0.029 __init__.py:1(<module>)


