Wed Dec 10 12:25:50 2025    ga_profile.txt

         206663314 function calls (167308649 primitive calls) in 74.785 seconds

   Ordered by: cumulative time
   List reduced from 3474 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    366/1    0.003    0.000   74.786   74.786 {built-in method builtins.exec}
        1    0.245    0.245   74.786   74.786 ga_train_screen.py:1(<module>)
     1849    0.050    0.000   71.168    0.038 agent.py:62(moves_instant)
     1849    0.025    0.000   71.045    0.038 genetic_algorithm.py:77(choose_action)
     1849    0.184    0.000   69.603    0.038 agent.py:81(get_next_states)
    62434    0.308    0.000   68.643    0.001 game.py:504(copy)
    62434    0.408    0.000   66.734    0.001 game.py:110(copy)
39333420/62434   34.196    0.000   66.310    0.001 copy.py:119(deepcopy)
    62877    0.177    0.000   65.251    0.001 copy.py:248(_reconstruct)
124868/62434   11.229    0.000   63.849    0.001 copy.py:201(_deepcopy_tuple)
    17816    0.021    0.000   19.619    0.001 agent.py:153(test_tspin)
 78701046   11.085    0.000   11.085    0.000 {method 'get' of 'dict' objects}
 39647178    4.491    0.000    4.491    0.000 {built-in method builtins.id}
 39146118    3.356    0.000    3.356    0.000 copy.py:173(_deepcopy_atomic)
    62450    0.513    0.000    1.509    0.000 game.py:149(__init__)
    42427    0.033    0.000    1.417    0.000 genetic_algorithm.py:71(_evaluate_state)
    42427    0.067    0.000    1.283    0.000 genetic_algorithm.py:93(feature_func)
       45    0.002    0.000    1.260    0.028 __init__.py:1(<module>)
    42427    0.856    0.000    1.216    0.000 game.py:299(genetics_grid_features)
   384592    1.130    0.000    1.130    0.000 {built-in method pygame.draw.rect}


